id,name,full_name,club,club_slug,nationality,birth_date,height_cm,position,cost,rarity,is_starter,image_url,rb,a,rc,d,rg,v,pc,pl,pa,dl,rm,rf,co,zone_grid
108390-2526,COURTOIS,Thibaut Courtois,Real Madrid,rma,Belgium,1992-05-11,200,GK,9,rara,false,https://assets.virtuafc.com/players/70988.webp,,,,,,,,,,,,3,2,
404839-2526,LUNIN,Andriy Lunin,Real Madrid,rma,Ukraine,1999-02-11,191,GK,8,frecuente,false,https://assets.virtuafc.com/players/857574.webp,,,,,,,,,,,,3,2,
1055220-2526,GONZÁLEZ,Fran González,Real Madrid,rma,Spain,2005-06-24,199,GK,6,comun,true,https://assets.virtuafc.com/players/1493226.webp,,,,,,,,,,,,2,2,
890290-2526,HUIJSEN,Dean Huijsen,Real Madrid,rma,Spain,2005-04-14,197,DF,9,frecuente,false,https://assets.virtuafc.com/players/1176744.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
401530-2526,MILITÃO,Éder Militão,Real Madrid,rma,Brazil,1998-01-18,186,DF,8,frecuente,false,https://assets.virtuafc.com/players/822519.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
935245-2526,ASENCIO,Raúl Asencio,Real Madrid,rma,Spain,2003-02-13,184,DF,8,frecuente,false,https://assets.virtuafc.com/players/1156645.webp,3,3,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
86202-2526,RÜDIGER,Antonio Rüdiger,Real Madrid,rma,Germany,1993-03-03,190,DF,7,frecuente,false,https://assets.virtuafc.com/players/142622.webp,3,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
59016-2526,ALABA,David Alaba,Real Madrid,rma,Austria,1992-06-24,180,DF,6,comun,false,https://assets.virtuafc.com/players/66492.webp,2,2,2,,,,,2,2,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false]]"
811778-2526,CARRERAS,Álvaro Carreras,Real Madrid,rma,Spain,2003-03-23,186,DF,9,rara,false,https://assets.virtuafc.com/players/1085081.webp,3,3,,,2,3,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false]]"
341264-2526,GARCÍA,Fran García,Real Madrid,rma,Spain,1999-08-14,169,DF,7,frecuente,true,https://assets.virtuafc.com/players/851271.webp,3,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false]]"
291417-2526,MENDY,Ferland Mendy,Real Madrid,rma,France,1995-06-08,180,DF,6,comun,true,https://assets.virtuafc.com/players/792073.webp,3,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false]]"
314353-2526,ALEXANDER-ARNOLD,Trent Alexander-Arnold,Real Madrid,rma,England,1998-10-07,180,DF,9,rara,false,https://assets.virtuafc.com/players/795064.webp,3,3,,,2,3,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true]]"
138927-2526,CARVAJAL,Daniel Carvajal,Real Madrid,rma,Spain,1992-01-11,173,DF,7,frecuente,false,https://assets.virtuafc.com/players/138572.webp,3,2,,,2,2,2,,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true]]"
413112-2526,TCHOUAMÉNI,Aurélien Tchouaméni,Real Madrid,rma,France,2000-01-27,188,MF,10,rara,false,https://assets.virtuafc.com/players/859025.webp,3,3,,,2,,3,2,,,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false]]"
369081-2526,VALVERDE,Federico Valverde,Real Madrid,rma,Uruguay,1998-07-22,182,MF,11,rara,false,https://assets.virtuafc.com/players/831808.webp,,3,,,3,,3,3,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
640428-2526,CAMAVINGA,Eduardo Camavinga,Real Madrid,rma,France,2002-11-10,182,MF,9,frecuente,false,https://assets.virtuafc.com/players/973887.webp,,2,,,2,,3,3,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
1375227-2526,PITARCH,Thiago Pitarch,Real Madrid,rma,Spain,2007-08-03,179,MF,7,frecuente,false,https://assets.virtuafc.com/players/2237795.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
319745-2526,CEBALLOS,Dani Ceballos,Real Madrid,rma,Spain,1996-08-07,179,MF,6,comun,false,https://assets.virtuafc.com/players/547838.webp,,2,,,2,,3,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
1186235-2526,CESTERO,Jorge Cestero,Real Madrid,rma,Spain,2006-03-24,178,MF,6,comun,false,https://assets.virtuafc.com/players/1590121.webp,,2,,,2,,2,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
646824-2526,ÁNGEL,Manuel Ángel,Real Madrid,rma,Spain,2004-03-15,170,MF,6,comun,false,https://assets.virtuafc.com/players/1142683.webp,,2,,,2,,2,2,,2,,,,"[[false,false,false,false,false],[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false]]"
581678-2526,BELLINGHAM,Jude Bellingham,Real Madrid,rma,England,2003-06-29,186,MF,10,rara,false,https://assets.virtuafc.com/players/991011.webp,,,,2,3,,3,3,,3,,,,"[[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
861410-2526,GÜLER,Arda Güler,Real Madrid,rma,Türkiye,2005-02-25,175,MF,9,rara,false,https://assets.virtuafc.com/players/1091116.webp,,,,2,3,,3,2,,3,,,,"[[false,false,false,false,false],[false,true,true,true,false],[false,true,true,true,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
371998-2526,JUNIOR,Vinicius Junior,Real Madrid,rma,Brazil,2000-07-12,176,FW,11,rara,false,https://assets.virtuafc.com/players/868812.webp,,,,3,3,3,3,,,,2,,,"[[true,true,false,false,false],[true,true,false,false,false],[true,true,false,false,false],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
412363-2526,RODRYGO,Rodrygo,Real Madrid,rma,Brazil,2001-01-09,174,FW,9,frecuente,false,https://assets.virtuafc.com/players/910536.webp,,,,2,3,3,2,,,,2,,,"[[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
1057316-2526,MASTANTUONO,Franco Mastantuono,Real Madrid,rma,Argentina,2007-08-14,178,FW,8,frecuente,false,https://assets.virtuafc.com/players/1403559.webp,,,,2,3,3,2,,,,2,,,"[[false,false,false,true,true],[false,false,false,true,true],[false,false,false,true,true],[false,false,false,false,false],[false,false,false,false,false],[false,false,false,false,false]]"
